patrol,contact_no,time,date,date_raw,latitude,longitude,type,sunk,raw
1,1,2250,1944-07-06,7/6,,,,False,1 2250 7/6
1,2,0756,1944-07-09,7/9,,,,False,2 0756 7/9
1,3,1207,1944-07-12,7/12,,,Sampan,False,3 :1207 :7/12:27-18 :2 Sampans
1,4,1237,1944-07-12,7/12,,,Sampan,False,4 1237 7/12 27-20 2 Sampans
1,5,0559,1944-07-13,7/13,,,,False,5:0559 7/13
1,6,0639,1944-07-16,7/16,,,Patrol,False,6 :0639 :7/16 :29-28 :1 Patrol
1,7,2032,1944-07-16,7/16,,,Sub,False,7 2032 7/16 31-39 U.S. Sub
1,8,2110,1944-07-16,7/16,,,Sub,False,8 2110 7/16:31-39 U.S. Sub.
1,9,0404,1944-07-17,7/17,,,,False,90404 7/17 :31-21
1,10,0116,1944-07-18,7/18,,,AK,False,10 0116 7/18 29-12 1 AK
1,11,0528,1944-07-18,7/18,,,,False,11:0528 7/18 :28-43
1,12,1942,1944-07-20,7/20,,,,False,12:1942 7/20 :27-54
1,13,1154,1944-07-22,7/22,,,,False,13:1154 :7/22:28-32
1,14,1340,1944-07-26,7/26,,,,False,14:1340 7/26 :27-24
1,15,1506,1944-07-26,7/26,,,,False,15 1506 7/26
1,16,1943,1944-07-26,7/26,,,,False,16:1943 7/26
1,17,0445,1944-08-05,8/5,,,,False,17:0445 :8/5
1,18,0550,1944-08-13,8/13,,,,False,18:0550 :8/13
1,19,1800,1944-08-13,18/13,,,,False,19:1800 18/13
1,20,0525,1944-08-14,8/14,,,DD,False,20:0525 :8/14 :8-32 :US DD598
